Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,dev_stage,experiment_batch,Cultivar,Biomaterial_provider,Ecotype,treatment
SRR7647217,ChIP-Seq,79,PRJNA381300,SAMN09767952,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510225,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_27DPA_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,465,271,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629634,AC_27DPA_H3K4me3_Cornell_1,SRP102870,fruit flesh,27 days post anthesis,Cornell_1,AC,,,
SRR7647225,ChIP-Seq,79,PRJNA381300,SAMN09767950,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510217,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_7DPA_H3K4me3_Cornell_2,SINGLE,ChIP,GENOMIC,152,92,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629625,AC_7DPA_H3K4me3_Cornell_2,SRP102870,fruit flesh,7 days post anthesis,Cornell_2,AC,,,
SRR7647227,ChIP-Seq,35,PRJNA381300,SAMN09767948,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510215,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K4me3_Cornell_2,SINGLE,ChIP,GENOMIC,325,180,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629624,AC_leaf_H3K4me3_Cornell_2,SRP102870,leaf,leaf,Cornell_2,AC,,,
SRR7647229,RNA-Seq,300,PRJNA381300,SAMN09767990,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510213,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Ved_leaf_3s_RNA-seq_PH033,PAIRED,RT-PCR,TRANSCRIPTOMIC,2152,893,Cucumis melo,ILLUMINA,2018-08-06T00:00:00Z,SRS3629622,Ved_leaf_3s_RNA-seq_PH033,SRP102870,leaf,stage 3,PH033,Vedrantais (climacteric),,,
SRR7647231,RNA-Seq,300,PRJNA381300,SAMN09767988,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510211,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Ved_leaf_1_RNA-seq_PH026,PAIRED,RT-PCR,TRANSCRIPTOMIC,1455,588,Cucumis melo,ILLUMINA,2018-08-06T00:00:00Z,SRS3629619,Ved_leaf_1_RNA-seq_PH026,SRP102870,leaf,"stage 1\, young",PH026,Vedrantais (climacteric),,,
SRR7647233,ChIP-Seq,300,PRJNA381300,SAMN09767986,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510209,TF ChIP-seq,Egypt,Africa,Egypt,HiSeq X Ten,Pp_NOR_Ripe_PH173_1,PAIRED,ChIP,GENOMIC,4249,1587,Prunus persica,ILLUMINA,2018-08-06T00:00:00Z,SRS3629617,Pp_NOR_Ripe_PH173_1,SRP102870,fruit flesh,ripe,PH173_1,not collected (yellow fruit flesh),,,
SRR7647236,RNA-Seq,300,PRJNA381300,SAMN09767991,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510206,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Ved_leaf_4_RNA-seq_PH026,PAIRED,RT-PCR,TRANSCRIPTOMIC,1064,413,Cucumis melo,ILLUMINA,2018-08-06T00:00:00Z,SRS3629615,Ved_leaf_4_RNA-seq_PH026,SRP102870,leaf,stage 4,PH026,Vedrantais (climacteric),,,
SRR7647237,RNA-Seq,300,PRJNA381300,SAMN09767992,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510205,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Ved_leaf_5_RNA-seq_PH025,PAIRED,RT-PCR,TRANSCRIPTOMIC,614,251,Cucumis melo,ILLUMINA,2018-08-06T00:00:00Z,SRS3629614,Ved_leaf_5_RNA-seq_PH025,SRP102870,leaf,stage 5,PH025,Vedrantais (climacteric),,,
SRR7647239,ChIP-Seq,35,PRJNA381300,SAMN09767967,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510203,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_MG_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,336,189,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629612,AC_MG_H3K27me3_Cornell_1,SRP102870,fruit flesh,mature green stage,Cornell_1,AC,,,
SRR7647241,ChIP-Seq,35,PRJNA381300,SAMN09767969,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510201,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,168,91,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629610,AC_B_H3K27me3_Cornell_1,SRP102870,fruit flesh,break stage,Cornell_1,AC,,,
