Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,Batch,Biological_replicate,Experiment
SRR6793907,ChIP-Seq,300,PRJNA391551,SAMN08624602,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3752927,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_H3K27me3_2,PAIRED,ChIP,GENOMIC,446,203,Oryza sativa Japonica Group,ILLUMINA,2018-02-28T00:00:00Z,SRS3009067,OsMC_H3K27me3_2,SRP110225,leaf mesophyll,,,
SRR6794129,Bisulfite-Seq,300,PRJNA391551,SAMN08625118,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Yugu-1,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3753150,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SiMC_BS_2.2,PAIRED,RANDOM,GENOMIC,4527,1846,Setaria italica,ILLUMINA,2018-03-01T00:00:00Z,SRS3009203,SiMC_BS_2.2,SRP110225,leaf mesophyll,2,2,WGBS-seq
SRR6794130,Bisulfite-Seq,300,PRJNA391551,SAMN08625117,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Yugu-1,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3753149,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SiMC_BS_1.2,PAIRED,RANDOM,GENOMIC,5621,2301,Setaria italica,ILLUMINA,2018-03-01T00:00:00Z,SRS3009204,SiMC_BS_1.2,SRP110225,leaf mesophyll,2,1,WGBS-seq
SRR5943847,OTHER,300,PRJNA391551,SAMN07515620,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,BTX-623,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3102363,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SbMC_HiC_2.3,PAIRED,size fractionation,GENOMIC,56830,23558,Sorghum bicolor,ILLUMINA,2017-08-18T00:00:00Z,SRS2438133,SbMC_HiC_2.3,SRP110225,leaf mesophyll,3,2,in situ HiC
SRR6322629,Bisulfite-Seq,300,PRJNA391551,SAMN08098248,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422435,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_BS_1.2,PAIRED,RANDOM,GENOMIC,21768,9966,Oryza sativa Japonica Group,ILLUMINA,2017-11-26T00:00:00Z,SRS2714155,OsMC_BS_1.2,SRP110225,leaf mesophyll,2,1,WGBS-seq
SRR6322634,Bisulfite-Seq,300,PRJNA391551,SAMN08098251,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422430,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_BS_1.1,PAIRED,RANDOM,GENOMIC,3212,1590,Solanum lycopersicum,ILLUMINA,2017-11-26T00:00:00Z,SRS2714150,SlMC_BS_1.1,SRP110225,leaf mesophyll,1,1,WGBS-seq
SRR6322661,OTHER,300,PRJNA391551,SAMN07563245,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422460,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_HiC_3.1,PAIRED,size fractionation,GENOMIC,22433,9457,Oryza sativa Japonica Group,ILLUMINA,2017-11-26T00:00:00Z,SRS2469292,OsMC_HiC_3.1,SRP110225,leaf mesophyll,1,3,in situ HiC
SRR6322630,Bisulfite-Seq,300,PRJNA391551,SAMN08098247,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422434,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_BS_1.1,PAIRED,RANDOM,GENOMIC,3842,1893,Oryza sativa Japonica Group,ILLUMINA,2017-11-26T00:00:00Z,SRS2714154,OsMC_BS_1.1,SRP110225,leaf mesophyll,1,1,WGBS-seq
SRR6322633,Bisulfite-Seq,300,PRJNA391551,SAMN08098252,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422431,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_BS_1.2,PAIRED,RANDOM,GENOMIC,10846,4946,Solanum lycopersicum,ILLUMINA,2017-11-26T00:00:00Z,SRS2714151,SlMC_BS_1.2,SRP110225,leaf mesophyll,2,1,WGBS-seq
SRR6322636,Bisulfite-Seq,300,PRJNA391551,SAMN08098253,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422428,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_BS_2.1,PAIRED,RANDOM,GENOMIC,5547,2686,Solanum lycopersicum,ILLUMINA,2017-11-26T00:00:00Z,SRS2714148,SlMC_BS_2.1,SRP110225,leaf mesophyll,1,2,WGBS-seq
SRR6322631,Bisulfite-Seq,300,PRJNA391551,SAMN08098250,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422433,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_BS_2.2,PAIRED,RANDOM,GENOMIC,11824,5350,Oryza sativa Japonica Group,ILLUMINA,2017-11-26T00:00:00Z,SRS2714153,OsMC_BS_2.2,SRP110225,leaf mesophyll,2,2,WGBS-seq
SRR6322632,Bisulfite-Seq,300,PRJNA391551,SAMN08098249,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422432,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_BS_2.1,PAIRED,RANDOM,GENOMIC,3013,1466,Oryza sativa Japonica Group,ILLUMINA,2017-11-26T00:00:00Z,SRS2714152,OsMC_BS_2.1,SRP110225,leaf mesophyll,1,2,WGBS-seq
SRR6322635,Bisulfite-Seq,300,PRJNA391551,SAMN08098254,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3422429,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_BS_2.2,PAIRED,RANDOM,GENOMIC,21095,9401,Solanum lycopersicum,ILLUMINA,2017-11-26T00:00:00Z,SRS2714149,SlMC_BS_2.2,SRP110225,leaf mesophyll,2,2,WGBS-seq
SRR6765291,OTHER,300,PRJNA391551,SAMN08583083,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3736497,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_HiC_4.2,PAIRED,size fractionation,GENOMIC,22248,9166,Oryza sativa Japonica Group,ILLUMINA,2018-02-23T00:00:00Z,SRS2993364,OsMC_HiC_4.2,SRP110225,leaf mesophyll,2,4,in situ HiC
SRR6765292,OTHER,300,PRJNA391551,SAMN08583082,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX3736496,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_HiC_4.1,PAIRED,size fractionation,GENOMIC,25214,10026,Oryza sativa Japonica Group,ILLUMINA,2018-02-23T00:00:00Z,SRS2993363,OsMC_HiC_4.1,SRP110225,leaf mesophyll,1,4,in situ HiC
SRR5748715,Bisulfite-Seq,202,PRJNA391551,SAMN07270442,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949361,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_1.3,PAIRED,RANDOM,GENOMIC,17722,8574,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307846,ZmMC_BS_1.3,SRP110225,leaf mesophyll,3,1,WGBS-seq
SRR5748716,Bisulfite-Seq,300,PRJNA391551,SAMN07270441,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949360,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_1.2,PAIRED,RANDOM,GENOMIC,31969,14330,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307848,ZmMC_BS_1.2,SRP110225,leaf mesophyll,2,1,WGBS-seq
